App Id,Category
429774218,Games
1317544427,Games
1283281960,Entertainment
1299376972,Games
1369521645,Games
1361313065,Games
1236833677,Games
1176011642,Games
1435287007,Games
1415515883,Games
1305849584,Games
1337514468,Games
526641427,Games
1439434856,Games
1239251106,Games
1313161683,Games
1247351418,Games
1393779389,Games
625458492,Utilities
911793120,Games
1407852246,Games
295646461,Weather
591560124,Music
1196764367,Games
1314654833,Productivity
368868193,Health & Fitness
341232718,Health & Fitness
636365643,Music
1191441346,Games
642064350,Music
352969997,News
429610587,Entertainment
314716233,Social Networking
338088432,Social Networking
281940292,Weather
622859960,Shopping
366247306,Games
645704840,Games
1121895111,Sports
1031653653,Weather
804379658,Games
510873505,Photo & Video
290638154,Music
1326845399,Games
471394851,Music
921765888,Music
322439990,Weather
1389111413,Games
1351027839,Games
1318181304,Games
406456433,Entertainment
1412716725,Games
1124197642,Games
1153883316,Games
1089336971,Games
449649021,News
962133447,Shopping
978882773,Lifestyle
332510494,Education
358899126,Social Networking
1394436000,Games
1413942319,Games
372648912,Social Networking
517840944,Games
543577420,Photo & Video
523001403,Games
1187205113,Games
285692706,Sports
839285684,Health & Fitness
398129933,Utilities
657500465,Games
372836496,Games
1423046460,Games
420427970,News
414569920,Navigation
399355755,Social Networking
488628250,Games
333647776,Entertainment
439873467,Games
444741112,Education
1217456898,Food & Drink
299515267,Food & Drink
302324249,Social Networking
1412721542,Games
286756410,Social Networking
1424533120,Games
600674056,Games
420758036,News
955006480,Productivity
1413770650,Games
1116661566,Games
1329653234,Games
1438261934,Games
623789705,Games
914172791,Education
1229515923,Games
1073286211,Games
1312798014,Games
1426272485,Games
1292166101,Games
1065519624,Games
1385059317,Games
1367371716,Games
1434524349,Games
1291205700,Games
1093108529,Entertainment
1247286024,Games
1313309508,Games
1406242911,Games
1017803760,Games
1145420529,Games
1193098743,Games
1400134578,Games
1203100595,Games
420009108,Games
1414961351,Games
1435320545,Games
848728690,Games
1390607396,Games
1406380550,Games
1384700608,Games
1401966349,Games
1372638631,Games
1438112093,Games
845129661,Games
1220294759,Games
1440287754,Games
1347934041,Games
1210337654,Games
1229594838,Games
1291037694,Games
1069691018,Games
785356686,Games
887947640,Games
1164507836,Games
1296887767,Games
1163575523,Games
1238114713,Games
1344851805,Games
1291854522,Games
1145541321,Games
1435037864,Games
1189800250,Games
301987699,Games
514485964,Social Networking
1256512567,Photo & Video
1260431017,Games
1178656055,Games
473507897,Games
1374812536,Games
1079277628,Education
1050587649,Utilities
1129361921,Games
1122103116,Games
1210752819,News
1161708554,Photo & Video
966536279,Games
1276695139,Games
1251920220,Games
1368617562,Games
1436170143,Games
1314642201,Games
878895252,Music
1403246503,Games
1149204548,Games
749124884,Utilities
1216396545,Weather
1274972321,Games
919745844,Social Networking
381471023,Utilities
462678375,Social Networking
1293646758,Entertainment
593715088,Games
1423504857,Games
410094240,News
1261300725,Games
448999087,Entertainment
1324604053,Games
1163786766,Lifestyle
1193508329,Games
495583717,Games
546473125,Education
568147279,News
1064910141,Health & Fitness
504265646,Games
1347129450,Games
1299956969,Games
486154808,Weather
1331794412,Games
1195770330,Games
1437615191,Games
1336527043,Games
980665604,Sports
595558452,Games
1115249449,Games
397648381,Social Networking
444538941,Games
367506176,Health & Fitness
424216726,Lifestyle
1186154558,Games
1437997401,Games
1192665604,Games
1119445248,Games
1340860865,Games
1235581326,Games
1351000424,Games
1432184360,Games
1384741554,Entertainment
1399506350,Games
966436749,Games
1413244113,Games
1014980954,Games
1214765807,Games
1027433400,Music
558164329,Games
1411454083,Games
1417797931,Entertainment
1101109456,Games
1337904119,Entertainment
979324502,Health & Fitness
650371821,Games
1242807565,Games
1436044871,Games
924427105,Photo & Video
521559009,Games
1231932402,Games
989080135,Games
1314944814,Games
1388822317,Games
1233739175,Games
639881495,Photo & Video
569077959,Social Networking
1055672607,Games
454768104,Photo & Video
1383617381,Games
1434183828,Games
1434995918,Games
635896473,Social Networking
1394442481,Games
1396519782,Games
959568432,Games
1317690198,Games
1096884447,Games
1394674470,Games
1440363921,Games
1119569595,Games
1145878423,Games
1147946787,Games
1159035153,Games
1297278170,Games
1393042194,Games
1125906574,Games
1136973333,Games
1069370674,Games
1141835258,Music
1090617661,Games
1250622359,Games
1066784117,Games
1243468357,Games
1438493375,Games
1313499187,Games
1212861987,Photo & Video
1364387656,Games
1401917588,Games
1366814158,Entertainment
921098848,Games
1425014150,Games
1362689436,Games
587366035,Photo & Video
1123930673,Games
1319500389,Games
1096825045,Games
356336433,News
1150344350,Games
1434562378,Games
749133753,Weather
1434587078,Games
290051590,Lifestyle
1374403536,Games
420447115,Medical
1213354902,Games
1281878296,Games
379516970,Lifestyle
1337578317,Games
1342468799,Games
488237027,News
840919914,Games
1026909621,Games
1436557189,Games
718081110,Games
1215058822,Entertainment
1024822336,Music
1268503848,Lifestyle
1063743554,Games
1090857568,Entertainment
1237519892,Games
735129045,Entertainment
1139991565,Utilities
915554816,Games
1263809665,Games
1069160488,Games
1189121774,Games
1219797995,Games
1390513753,Games
1317978215,Entertainment
1442415546,Games
1032040117,Games
1377999719,Games
1123413069,Games
1034630958,Games
1086415081,Games
1439154323,Games
1257043104,Games
848469604,Games
1224067836,Games
1435911022,Games
1435758523,Games
1093714835,Games
1351719370,Games
1438377117,Games
1233676270,Games
1286242780,Games
1412771585,Games
1161865954,Games
1081951977,Games
979339825,Health & Fitness
1163605498,Games
1262026106,Entertainment
910700569,Music
595970264,Games
581754163,Lifestyle
1403550096,Games
1262262200,Games
1340819732,Games
995289739,Games
1096002756,Games
1330894635,Games
976851174,Games
1153928817,Games
932426088,Games
1436567310,Games
1062308470,Entertainment
1263958162,Health & Fitness
1348282377,Games
956800019,Games
1196793884,Entertainment
1200758624,Entertainment
503583724,Games
1387166029,Health & Fitness
1104796100,Games
325175527,Games
1406725978,Games
1137107163,Games
1342732090,Lifestyle
